participant_id,case_id,measure_present,measure_type,prescriptive_force,demand_alert_perception,demand_alert_perception_source,demand_instruction_comprehension,demand_instruction_comprehension_source,demand_decision_making,demand_decision_making_source,demand_emergency_communication,demand_emergency_communication_source,demand_inhibitory_acoustic,demand_inhibitory_acoustic_source,demand_inhibitory_movement,demand_inhibitory_movement_source,demand_behavioural_sensory_regulation,demand_behavioural_sensory_regulation_source,demand_physical_execution,demand_physical_execution_source,demand_temporal_endurance,demand_temporal_endurance_source,demand_responder_interaction,demand_responder_interaction_source,support_present,support_demand_link,executability_rung,executability_locus,branch_b_out_of_scope,confidence_1_to_5,perceived_difficulty_1_to_5,pass_type,experiment_id
,C02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
,C02-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent_human,EXP-02
