participant_id,case_id,domain_id,can_assess_yes_no_partial,evidence_cited,evidence_layer,information_missing,unjustified_if_scored,additional_evidence_to_request,notes,experiment_id,total_readiness_score
,CASE-A,A,,,,,,,,EXP-06,
,CASE-A,B,,,,,,,,EXP-06,
,CASE-A,C,,,,,,,,EXP-06,
,CASE-A,D,,,,,,,,EXP-06,
,CASE-A,E,,,,,,,,EXP-06,
,CASE-A,F,,,,,,,,EXP-06,
,CASE-A,G,,,,,,,,EXP-06,
,CASE-A,H,,,,,,,,EXP-06,
,CASE-B,A,,,,,,,,EXP-06,
,CASE-B,B,,,,,,,,EXP-06,
,CASE-B,C,,,,,,,,EXP-06,
,CASE-B,D,,,,,,,,EXP-06,
,CASE-B,E,,,,,,,,EXP-06,
,CASE-B,F,,,,,,,,EXP-06,
,CASE-B,G,,,,,,,,EXP-06,
,CASE-B,H,,,,,,,,EXP-06,
,CASE-C,A,,,,,,,,EXP-06,
,CASE-C,B,,,,,,,,EXP-06,
,CASE-C,C,,,,,,,,EXP-06,
,CASE-C,D,,,,,,,,EXP-06,
,CASE-C,E,,,,,,,,EXP-06,
,CASE-C,F,,,,,,,,EXP-06,
,CASE-C,G,,,,,,,,EXP-06,
,CASE-C,H,,,,,,,,EXP-06,
