participant_id,case_id,assigned_layer,confidence_1_to_5,notes,experiment_id,pass_type,dataset_role
SYN-RATER-1,L04-01,1,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-01,1,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-02,2,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-02,2,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-03,3,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-03,3,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-04,4,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-04,4,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-05,5,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-05,5,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-06,2,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-06,3,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-07,3,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-07,3,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-08,2,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-08,3,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-09,4,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-09,4,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-10,4,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-10,5,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-11,3,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-11,3,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-12,4,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-12,4,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-13,2,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-13,3,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-14,4,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-14,4,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-15,1,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-15,1,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-16,3,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-16,3,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-17,5,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-17,5,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-1,L04-18,2,4,synthetic,EXP-04,independent_human,synthetic_demonstration
SYN-RATER-2,L04-18,2,3,synthetic errors on adoption/performance confusions,EXP-04,independent_human,synthetic_demonstration
