case_id,is_pe,pe_count_expected,executability_rung,executability_locus,demand_source_primary,support_present,assessment_or_testing_or_revision,branch_b_in_scope,critical_pass_rule,adjudication_note
Q-01,true,2,1,not_specified,explicit,0,none,false,must_unitize_two_actions_or_justify_one_with_memo,Lock + silence are separable PEs
Q-02,true,1,2,subgroup,explicit,1,none,false,rung_must_be_2_not_3,Support specified; no assessment verb
Q-03,true,1,3,subgroup,explicit,0,assessment,false,rung_must_be_3,Verify/timed walkthrough = assessment
Q-04,true,1,4,setting,explicit,0,testing,false,rung_must_be_4_not_1,Realistic drill of supports/usability
Q-05,true,1,5,not_specified,explicit,0,revision,false,rung_must_be_5,Findings used to revise
Q-06,true,1,2,subgroup,explicit,1,none,false,locus_subgroup,Personalised plans + escort
Q-07,true,1,1,not_specified,explicit,0,none,false,explicit_inhibitory_demand,Silence named
Q-08,true,1,1,not_specified,entailed_or_explicit,0,none,false,no_fabricated_demands,Physical execution explicit; extra demands need entailment table
Q-09,false_or_memo,0,0,not_specified,ambiguous_memo,0,none,false,memo_never_presence,Not positive evidence
Q-10,true,1,2,setting,explicit,1,none,false,support_linked_to_demand,Because-clause linkage
Q-11,true,1,0_or_1,setting,ambiguous_memo,0,none,false,no_auto_support,Setting catalog ≠ support
Q-12,out_of_scope,0,not_applicable,not_applicable,not_applicable,0,none,false,must_exclude_branch_b,Family F inactive
Q-13,true,1,1,not_specified,explicit,0,none,false,source_location_required,Section 2.1 must be recorded
Q-14,true,1,2,individual,explicit,1,none,false,named_plan_can_be_support,PEEP named
Q-15,false_or_background,0,0,not_specified,ambiguous_memo,0,none,false,no_effectiveness_claim,Benchmark concept language only
