coder_id,coding_round,codebook_version,pe_id,measure_type,prescriptive_force,demand_alert_perception,demand_alert_perception_source,demand_alert_perception_trigger,demand_instruction_comprehension,demand_instruction_comprehension_source,demand_instruction_comprehension_trigger,demand_decision_making,demand_decision_making_source,demand_decision_making_trigger,demand_emergency_communication,demand_emergency_communication_source,demand_emergency_communication_trigger,demand_inhibitory_acoustic,demand_inhibitory_acoustic_source,demand_inhibitory_acoustic_trigger,demand_inhibitory_movement,demand_inhibitory_movement_source,demand_inhibitory_movement_trigger,demand_behavioural_sensory_regulation,demand_behavioural_sensory_regulation_source,demand_behavioural_sensory_regulation_trigger,demand_physical_execution,demand_physical_execution_source,demand_physical_execution_trigger,demand_temporal_endurance,demand_temporal_endurance_source,demand_temporal_endurance_trigger,demand_responder_interaction,demand_responder_interaction_source,demand_responder_interaction_trigger,support_present,support_demand_link,executability_rung,executability_locus,detection_mechanism_present,baseline_interpretation_addressed,specialist_participation,false_positive_safeguard,conflict_acknowledged,conflict_resolution_offered,qualitative_memo,adjudication_status,adjudicated_value,pilot_phase,sample_role,pilot_flag,inference_flag,benchmark_flag,protocol_flag,analysis_scope,coder_pass_type
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF16-01,other,recommended,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Role appointment; executability of protective actions not engaged beyond prescription.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF16-02,procedural_response,recommended,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,subgroup,,,,,0,0,"Generic 'consider…inclusive and accessible' without named support → support_present=0; rung<=1 per codebook negative example pattern. | ADJUDICATION: disagreed on support_present,executability_rung; retained A; see disagreement_log.",resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF16-03,procedural_response,recommended,0,,,1,entailed,familiarise with multi-step protocol,1,entailed,RUN HIDE TELL implies option choice,0,,,0,,,0,,,0,,,1,entailed,RUN/HIDE motor actions entailed by protocol name,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,"Overview-level citation of RUN HIDE TELL; inhibitory silence not explicit here → not coded without later explicit text in this PE. | ADJUDICATION: disagreed on demand_inhibitory_acoustic,demand_inhibitory_acoustic_source,demand_inhibitory_acoustic_trigger; retained A; see disagreement_log.",resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF16-04,procedural_response,recommended,0,,,1,entailed,must distinguish lockdown/invacuation/evacuation,1,explicit,three response options,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,setting,,,,,0,0,Decision among named options; locus=setting because settings consider options. | ADJUDICATION: disagreed on executability_locus; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF16-05,procedural_response,recommended,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,entailed,evacuation plan implies motor egress,0,,,0,,,1,1,2,individual,,,,,0,0,Named PEEP support → rung 2; not assessment of executability → not rung 3. | ADJUDICATION: disagreed on executability_rung; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF16-06,training_drill,recommended,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,4,not_specified,,,,,0,0,PROVISIONAL: 'test their plans…practice drills' coded rung 4 as realistic-condition testing of protective plans; trauma 'consideration' not named support. Benchmark-sensitive: whether AFN comparator would force narrower rung-4 rule. | ADJUDICATION: disagreed on executability_rung; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF16-07,procedural_response,recommended,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,entailed,assist implies supported motor action,0,,,0,,,1,1,2,subgroup,,,,,0,0,Named buddy/marshal support in SEND/special-schools section. | ADJUDICATION: disagreed on executability_locus; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF16-08,training_drill,unspecified,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,explicit,wheelchair egress during drill,0,,,0,,,1,1,5,subgroup,,,,,0,0,"Illustrative case of drill revealing inaccessibility then amending plan → rung 5 candidate; force=unspecified (example). PROVISIONAL until comparator calibration of whether examples count. | ADJUDICATION: disagreed on prescriptive_force,executability_rung; retained A; see disagreement_log.",resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF03-01,other,recommended,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Planning-team prescription; no occupant protective-action executability content.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF03-02,behavioural_threat_assessment,unspecified,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,0,not_specified,,0,absent,0,0,0,Descriptive dependency statement; Branch B material noted; executability engagement not addressed → rung 0. | Threat-assessment language present; Family F inactive; not coded as Branch B presence. | ADJUDICATION: disagreed on executability_rung; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,out_of_scope_branch_b_material_noted,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF03-03,procedural_response,recommended,1,explicit,PA message announcing lockdown,1,entailed,map announcement to actions,0,,,0,,,0,,,1,entailed,remain in safe area implied by lockdown,0,,,1,explicit,close and lock doors; move to safe areas,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Unit kept as one PE (prompted action chain). Inhibitory acoustic not explicit. | ADJUDICATION: disagreed on demand_inhibitory_acoustic_source; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF03-04,training_drill,recommended,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Practice/familiarisation drills without assessment of executability for diverse needs → rung 1 (contrast CF16-06). Ladder consistency stress. | ADJUDICATION: disagreed on executability_rung; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF03-05,communication_alerting,recommended,0,,,0,,,0,,,1,entailed,call-box use implies transmitting emergency info,0,,,0,,,0,,,1,entailed,locate/activate call box,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Awareness requirement; no accessibility support specified.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF03-06,other,optional,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,"SSAT assesses physical security posture, not protective-action executability → do not code rung 3. | ADJUDICATION: disagreed on executability_rung; retained A; see disagreement_log.",resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF03-07,other,recommended,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,1,0,Acknowledges unintended consequences; no specific accessibility resolution offered in-unit. | ADJUDICATION: disagreed on conflict_resolution_offered; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
