pilot_unit_id,variable,coder_A_value,coder_B_or_procedural_value,disagreement_type,adjudicated_resolution,codebook_implication,protocol_amendment_required,benchmark_calibration_needed,inference_flag,benchmark_flag,protocol_flag,pilot_phase
PE-OPA-CF16-02,support_present,0,1,codebook_gap,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Generic inclusive language vs named support,review,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF16-03,demand_inhibitory_acoustic,0,1,explicit-versus-entailed confusion,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Entailing silence from HIDE,review,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF16-04,executability_locus,setting,not_specified,locus ambiguity,retain_A_provisional; do_not_change_rule_to_maximize_agreement,setting vs not_specified,review,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF16-05,executability_rung,2,3,ladder ambiguity,retain_A_provisional; do_not_change_rule_to_maximize_agreement,PEEP as support (2) vs assessment (3),yes_if_benchmark_or_ladder_rule,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF16-06,executability_rung,4,1,ladder ambiguity,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Plan testing vs executability testing,yes_if_benchmark_or_ladder_rule,yes,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF16-07,executability_locus,subgroup,multiple,locus ambiguity,retain_A_provisional; do_not_change_rule_to_maximize_agreement,subgroup vs multiple,review,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF16-08,executability_rung,5,4,ladder ambiguity,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Illustrative case as rung 5,yes_if_benchmark_or_ladder_rule,yes,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF03-02,executability_rung,0,1,document-level versus PE-level confusion,retain_A_provisional; do_not_change_rule_to_maximize_agreement,BTAM descriptive text,review,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF03-03,demand_inhibitory_acoustic_source,0,0,explicit-versus-entailed confusion,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Lockdown silence assumption,review,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF03-04,executability_rung,1,4,ladder ambiguity,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Practice drills as rung 1 vs 4,yes_if_benchmark_or_ladder_rule,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF03-06,executability_rung,1,3,ladder ambiguity,retain_A_provisional; do_not_change_rule_to_maximize_agreement,SSAT as security assessment not executability assessment,yes_if_benchmark_or_ladder_rule,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF03-07,conflict_resolution_offered,0,1,variable overlap,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Acknowledge vs resolve,review,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF15-03,executability_rung,4,5,ladder ambiguity,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Evaluate results as rung 4 vs 5,yes_if_benchmark_or_ladder_rule,yes,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF15-04,support_present,0,1,codebook_gap,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Catalog threshold vs support,review,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF15-07,support_present,0,1,codebook_gap,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Capacidades language,review,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF13-02,executability_rung,4,1,ladder ambiguity,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Required exercises as rung 4 vs 1,yes_if_benchmark_or_ladder_rule,no,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF13-03,support_present,1,0,benchmark-dependent,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Attention/PAI as support,yes_if_benchmark_or_ladder_rule,yes,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
PE-OPA-CF13-05,executability_rung,5,1,ladder ambiguity,retain_A_provisional; do_not_change_rule_to_maximize_agreement,Optional REX as rung 5,yes_if_benchmark_or_ladder_rule,yes,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,A_operational
