issue_id,issue,affected_files,decision_owner,evidence_currently_available,decision_required,blocking_status,proposed_resolution,resolution_confidence,action_taken,final_status,as_of_date
FR-01,Final corpus N not fixed,data/corpus/*; manuscript todos,PI,22 provisional candidates; 0 frozen inclusions,Choose freeze N after eligibility+provenance complete,freeze_blocker,Do not invent N; freeze only after L1 pins and full-text eligibility,high,Recorded as open,freeze_blocker,2026-07-31
FR-02,L0 eligibility decisions incomplete,candidate_frameworks.csv,PI,8 likely_eligible; 13 uncertain; 1 likely_ineligible,Finalize screening after full-text,freeze_blocker,Disposition recommendations issued; not final inclusion,high,Disposition table created,freeze_blocker,2026-07-31
FR-03,L1 document selection incomplete,document_registry.csv,PI,18 L1 rows; several TBD/placeholder,Select primary L1 per included L0,freeze_blocker,"Hold placeholders (CSTAG, REMS annex, PEEP, CMIST ops)",high,Documented,freeze_blocker,2026-07-31
FR-04,Unresolved provenance for multiple candidates,candidate_frameworks.csv; document_registry.csv,PI+librarian,10 partly_verified; 4 unverified; 6 known_not_reverified,Raise provenance or exclude/hold,freeze_blocker,Hold until official URL+version captured,high,Partial URL verification for CF-03/CF-16 only,freeze_blocker,2026-07-31
FR-05,PASS edition/checklist unresolved,CF-04; DOC-CF04-*,PI,partly_verified; edition/date unresolved,Confirm edition label/date and checklist versioning,freeze_blocker,Hold CF-04 pending official confirmation,medium,No silent finalize,freeze_blocker,2026-07-31
FR-06,CSTAG institutional attribution / L1 pin,CF-06; DOC-CF06-01,PI,known_not_reverified; title/edition TBD; OpenAlex related lit only,Identify citable current manual/materials issuer+edition,freeze_blocker,Hold; OpenAlex does not authorize L1,high,Left hold,freeze_blocker,2026-07-31
FR-07,CPTED tool authorship unresolved,CF-08; DOC-CF08-01,PI,partly_verified authorship/host,Confirm authoring body and current artifact,coding_blocker,Hold pending provenance,medium,Left hold,freeze_blocker,2026-07-31
FR-08,CMIST operational L1 source unresolved,CF-02; DOC-CF02-01,PI,2007 article OpenAlex-confirmed; operational CMIST L1 open,Choose L1: 2007 article vs later operational CMIST,freeze_blocker,Comparator hold until operational L1 pinned; 2007 may be background/scholarly,high,Disposition: hold/comparator,freeze_blocker,2026-07-31
FR-09,FEMA/HHS functional-needs identity unresolved,CF-11,PI,candidate_unverified; provisional_to_locate,Locate citable official L1 or exclude,freeze_blocker,Hold/exclude if unlocatable before freeze,medium,Hold,freeze_blocker,2026-07-31
FR-10,REMS disability annex identity TBD,DOC-CF07-02,PI,placeholder identity,Confirm annex identity or drop companion,coding_blocker,Hold companion until identity fixed,medium,Hold,freeze_blocker,2026-07-31
FR-11,PEEP comparator uncitable,CF-22; DOC-CF22-01,PI,candidate_unverified; no citable document,Locate authoritative PEEP framework or drop comparator,freeze_blocker,Hold/exclude; validators forbid verified upgrade without evidence,high,Hold,freeze_blocker,2026-07-31
FR-12,RAN / EU Knowledge Hub dated document unresolved,CF-20,PI,unverified,Locate dated citable doc or exclude,freeze_blocker,Hold/exclude,medium,Hold,freeze_blocker,2026-07-31
FR-13,German Länder candidate unlocated,CF-21,PI,likely_ineligible; provisional_to_locate,Exclude unless specific dated document found,freeze_blocker,Recommend exclude from freeze frame,high,Disposition exclude/hold_out,resolved,2026-07-31
FR-14,Exact official URLs missing for most L1,document_registry.csv source_url empty,PI,Most source_url blank; CF-03/CF-16 verified this session,Capture stable official URLs+retrieval_date before freeze,freeze_blocker,Fill verified URLs only; no invented URLs,high,Updated CF-03 landing+PDF and CF-16 GOV.UK landing,coding_blocker,2026-07-31
FR-15,Preregistration identifier absent,manuscript; protocol,PI,No registry ID,Register after protocol package ready,manuscript_blocker,Do not invent ID; generate readiness package only,high,Checklist created; no submission,manuscript_blocker,2026-07-31
FR-16,Reliability numerical floors were unset,protocol; manuscript,PI,Protocol said pre-commit floors without numbers,Adopt explicit α bands + contingencies,coding_blocker,Adopt reliability_policy_v0.1.md bands with citation placeholder,high,Policy written,resolved,2026-07-31
FR-17,RQ2 denominator unspecified,manuscript RQ2; analysis plan,PI,RQ2 says 'where engagement occurs',Fix primary+complementary denominators,coding_blocker,Primary: rung≥1; complementary: all PEs,high,Decision recorded; manuscript aligned,resolved,2026-07-31
FR-18,CMIST citation gap in manuscript,paper references,PI,Kailes2007 present; operational CMIST TBD,Cite official L1 when pinned,manuscript_blocker,Keep placeholder until L1 pinned,high,Unchanged placeholder,manuscript_blocker,2026-07-31
FR-19,Classical HRA citation gap,paper references,PI,SPAR-H only,Add THERP/CREAM or keep placeholder,nonblocking_editorial,Keep placeholder or verify classic source later,medium,Left placeholder,nonblocking_editorial,2026-07-31
FR-20,Branch B status for current paper,codebook Family F; coding template,PI,Editorial decision: out of main model,Formalize inactive_for_current_study,coding_blocker,Mark Family F inactive for current aggregates,high,Scope decision recorded; analysis flags added,resolved,2026-07-31
FR-21,Title/Safety Science formatting provisional,paper/main.tex,PI,Working title present; no journal package,Finalize at submission,nonblocking_editorial,Keep provisional title,high,No change required for freeze logic,nonblocking_editorial,2026-07-31
FR-22,No local authorized source text for coding,data/sources absent; local_file_status=none,PI,0 local PDFs,Obtain authorized local copies or fair-use excerpts for pilot+coding,freeze_blocker,Pilot execution blocked until text available,high,Pilot designed; execution blocked,freeze_blocker,2026-07-31
FR-23,Pilot coding not executed,data/pilot,PI,Blocked by FR-22,Complete double-coded pilot before freeze,freeze_blocker,Do not fabricate coding,high,Status EXECUTION_BLOCKED,freeze_blocker,2026-07-31
